0,1,2,3,4
Jan 29,00:57:53,113.22.125.157 DST=216.58.112.55 LEN=375 TOS=0x00 PREC=0x00 TTL=55 ID=34224 PROTO=UDP SPT=31105,1026,355
Jan 29,01:00:50,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,01:00:50,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,01:00:50,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,01:00:50,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,01:02:38,192.168.17.11 DST=10.97.14.25 LEN=76 TOS=0x00 PREC=0x00 TTL=126 ID=58760 PROTO=UDP SPT=123,123,56
Jan 29,01:03:49,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,01:03:49,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,01:03:49,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,01:03:49,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,01:04:42,72.129.201.114 DST=216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=114 ID=6285 PROTO=UDP SPT=36319,40686,31
Jan 29,01:04:42,68.43.45.155 DST=216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=112 ID=55290 PROTO=UDP SPT=31159,40686,31
Jan 29,01:04:42,68.46.224.58 DST=216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=107 ID=3449 PROTO=UDP SPT=16587,40686,31
Jan 29,01:04:43,71.194.107.51 DST=216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=111 ID=30205 PROTO=UDP SPT=1881,40686,31
Jan 29,01:04:43,67.8.58.212 DST=216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=114 ID=51275 PROTO=UDP SPT=43500,40686,31
Jan 29,01:06:59,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,01:06:59,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,01:06:59,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,01:06:59,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,01:07:08,63.167.69.69 DST=216.58.112.55 LEN=387 TOS=0x00 PREC=0x00 TTL=55 ID=44625 PROTO=UDP SPT=31105,1026,367
Jan 29,01:09:58,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,01:09:58,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,01:09:58,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,01:09:58,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,01:10:47,24.149.194.222 DST=216.58.112.55 LEN=125 TOS=0x00 PREC=0x00 TTL=111 ID=30701 PROTO=UDP SPT=63242,40686,105
Jan 29,01:13:04,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,01:13:04,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,01:13:04,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,01:13:04,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,01:15:02,72.230.93.214 DST=216.58.112.55 LEN=124 TOS=0x00 PREC=0x00 TTL=113 ID=33005 PROTO=UDP SPT=62286,40686,104
Jan 29,01:16:04,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,01:16:04,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,01:16:04,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,01:16:04,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,01:18:10,24.64.35.180 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=72 ID=7304 PROTO=UDP SPT=31138,1026,492
Jan 29,01:18:10,24.64.35.180 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=72 ID=7305 PROTO=UDP SPT=31138,1027,492
Jan 29,01:18:10,24.64.35.180 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=72 ID=7306 PROTO=UDP SPT=31138,1028,492
Jan 29,01:19:13,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,01:19:13,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,01:19:13,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,01:19:13,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,01:19:23,24.64.103.146 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=70 ID=11262 PROTO=UDP SPT=16356,1026,492
Jan 29,01:19:23,24.64.103.146 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=70 ID=11263 PROTO=UDP SPT=16356,1027,492
Jan 29,01:19:23,24.64.103.146 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=70 ID=11264 PROTO=UDP SPT=16356,1028,492
Jan 29,01:19:29,137.1.220.101 DST=216.58.112.55 LEN=387 TOS=0x00 PREC=0x00 TTL=55 ID=47553 PROTO=UDP SPT=31105,1026,367
Jan 29,01:19:45,192.168.17.11 DST=10.97.14.25 LEN=76 TOS=0x00 PREC=0x00 TTL=126 ID=58846 PROTO=UDP SPT=123,123,56
Jan 29,01:22:11,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,01:22:11,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,01:22:11,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,01:22:11,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
